Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,3dviewer Link,Component Type
R_RT2512FKE078R2L,R,8.2 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2512FKE078R2L,RES SMD 8.2 Ω 1% 2512 200V,Yageo,RT2512FKE078R2L,1%,50 ppm/°C,200V,2512,6332,RT2512FKE07,https://www.trustedparts.com/en/search/RT2512FKE078R2L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_2512.step,Resistor
R_RT2512FKE0710RL,R,10 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2512FKE0710RL,RES SMD 10 Ω 1% 2512 200V,Yageo,RT2512FKE0710RL,1%,50 ppm/°C,200V,2512,6332,RT2512FKE07,https://www.trustedparts.com/en/search/RT2512FKE0710RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_2512.step,Resistor
R_RT2512FKE0712RL,R,12 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2512FKE0712RL,RES SMD 12 Ω 1% 2512 200V,Yageo,RT2512FKE0712RL,1%,50 ppm/°C,200V,2512,6332,RT2512FKE07,https://www.trustedparts.com/en/search/RT2512FKE0712RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_2512.step,Resistor
R_RT2512FKE0714RL,R,14 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2512FKE0714RL,RES SMD 14 Ω 1% 2512 200V,Yageo,RT2512FKE0714RL,1%,50 ppm/°C,200V,2512,6332,RT2512FKE07,https://www.trustedparts.com/en/search/RT2512FKE0714RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_2512.step,Resistor
R_RT2512FKE0715RL,R,15 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2512FKE0715RL,RES SMD 15 Ω 1% 2512 200V,Yageo,RT2512FKE0715RL,1%,50 ppm/°C,200V,2512,6332,RT2512FKE07,https://www.trustedparts.com/en/search/RT2512FKE0715RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_2512.step,Resistor
R_RT2512FKE0716R9L,R,16.9 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2512FKE0716R9L,RES SMD 16.9 Ω 1% 2512 200V,Yageo,RT2512FKE0716R9L,1%,50 ppm/°C,200V,2512,6332,RT2512FKE07,https://www.trustedparts.com/en/search/RT2512FKE0716R9L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_2512.step,Resistor
R_RT2512FKE0718RL,R,18 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2512FKE0718RL,RES SMD 18 Ω 1% 2512 200V,Yageo,RT2512FKE0718RL,1%,50 ppm/°C,200V,2512,6332,RT2512FKE07,https://www.trustedparts.com/en/search/RT2512FKE0718RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_2512.step,Resistor
R_RT2512FKE0720RL,R,20 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2512FKE0720RL,RES SMD 20 Ω 1% 2512 200V,Yageo,RT2512FKE0720RL,1%,50 ppm/°C,200V,2512,6332,RT2512FKE07,https://www.trustedparts.com/en/search/RT2512FKE0720RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_2512.step,Resistor
R_RT2512FKE0721RL,R,21 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2512FKE0721RL,RES SMD 21 Ω 1% 2512 200V,Yageo,RT2512FKE0721RL,1%,50 ppm/°C,200V,2512,6332,RT2512FKE07,https://www.trustedparts.com/en/search/RT2512FKE0721RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_2512.step,Resistor
R_RT2512FKE0722RL,R,22 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2512FKE0722RL,RES SMD 22 Ω 1% 2512 200V,Yageo,RT2512FKE0722RL,1%,50 ppm/°C,200V,2512,6332,RT2512FKE07,https://www.trustedparts.com/en/search/RT2512FKE0722RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_2512.step,Resistor
