Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Maximum DC Current (A),Diode Type
D_SMBJ5.0CA,D,5 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 5 V,Littelfuse,SMBJ5.0CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ5.0CA,0.0,Bidirectional TVS
D_SMBJ6.0CA,D,6 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 6 V,Littelfuse,SMBJ6.0CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ6.0CA,0.0,Bidirectional TVS
D_SMBJ6.5CA,D,6.5 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 6.5 V,Littelfuse,SMBJ6.5CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ6.5CA,0.0,Bidirectional TVS
D_SMBJ7.0CA,D,7 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 7 V,Littelfuse,SMBJ7.0CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ7.0CA,0.0,Bidirectional TVS
D_SMBJ7.5CA,D,7.5 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 7.5 V,Littelfuse,SMBJ7.5CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ7.5CA,0.0,Bidirectional TVS
D_SMBJ8.0CA,D,8 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 8 V,Littelfuse,SMBJ8.0CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ8.0CA,0.0,Bidirectional TVS
D_SMBJ8.5CA,D,8.5 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 8.5 V,Littelfuse,SMBJ8.5CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ8.5CA,0.0,Bidirectional TVS
D_SMBJ9.0CA,D,9 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 9 V,Littelfuse,SMBJ9.0CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ9.0CA,0.0,Bidirectional TVS
D_SMBJ10CA,D,10 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 10 V,Littelfuse,SMBJ10CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ10CA,0.0,Bidirectional TVS
D_SMBJ11CA,D,11 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 11 V,Littelfuse,SMBJ11CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ11CA,0.0,Bidirectional TVS
D_SMBJ12CA,D,12 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 12 V,Littelfuse,SMBJ12CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ12CA,0.0,Bidirectional TVS
D_SMBJ13CA,D,13 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 13 V,Littelfuse,SMBJ13CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ13CA,0.0,Bidirectional TVS
D_SMBJ14CA,D,14 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 14 V,Littelfuse,SMBJ14CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ14CA,0.0,Bidirectional TVS
D_SMBJ15CA,D,15 V,diode_footprints:DO-214AA,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=09a6ae9a-73cb-4ac4-acac-e6dab92ab953,Bidirectional TVS SMD 15 V,Littelfuse,SMBJ15CA,SMBJ,https://www.trustedparts.com/en/search/SMBJ15CA,0.0,Bidirectional TVS
