Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Maximum DC Current (A),Diode Type
D_SMCJ5.0A-CA,D,5 V,diode_footprints:DO-214AB-2,https://www.st.com/resource/en/datasheet/smcj26a.pdf,Bidirectional TVS SMD 5 V,STMicroelectronics,SMCJ5.0A/CA,SMCJ,https://www.trustedparts.com/en/search/SMCJ5.0A/CA,0.0,Bidirectional TVS
D_SMCJ6.0A-CA,D,6 V,diode_footprints:DO-214AB-2,https://www.st.com/resource/en/datasheet/smcj26a.pdf,Bidirectional TVS SMD 6 V,STMicroelectronics,SMCJ6.0A/CA,SMCJ,https://www.trustedparts.com/en/search/SMCJ6.0A/CA,0.0,Bidirectional TVS
D_SMCJ6.5A-CA,D,6.5 V,diode_footprints:DO-214AB-2,https://www.st.com/resource/en/datasheet/smcj26a.pdf,Bidirectional TVS SMD 6.5 V,STMicroelectronics,SMCJ6.5A/CA,SMCJ,https://www.trustedparts.com/en/search/SMCJ6.5A/CA,0.0,Bidirectional TVS
D_SMCJ8.5A-CA,D,8.5 V,diode_footprints:DO-214AB-2,https://www.st.com/resource/en/datasheet/smcj26a.pdf,Bidirectional TVS SMD 8.5 V,STMicroelectronics,SMCJ8.5A/CA,SMCJ,https://www.trustedparts.com/en/search/SMCJ8.5A/CA,0.0,Bidirectional TVS
D_SMCJ10A-CA,D,10 V,diode_footprints:DO-214AB-2,https://www.st.com/resource/en/datasheet/smcj26a.pdf,Bidirectional TVS SMD 10 V,STMicroelectronics,SMCJ10A/CA,SMCJ,https://www.trustedparts.com/en/search/SMCJ10A/CA,0.0,Bidirectional TVS
D_SMCJ12A-CA,D,12 V,diode_footprints:DO-214AB-2,https://www.st.com/resource/en/datasheet/smcj26a.pdf,Bidirectional TVS SMD 12 V,STMicroelectronics,SMCJ12A/CA,SMCJ,https://www.trustedparts.com/en/search/SMCJ12A/CA,0.0,Bidirectional TVS
D_SMCJ13A-CA,D,13 V,diode_footprints:DO-214AB-2,https://www.st.com/resource/en/datasheet/smcj26a.pdf,Bidirectional TVS SMD 13 V,STMicroelectronics,SMCJ13A/CA,SMCJ,https://www.trustedparts.com/en/search/SMCJ13A/CA,0.0,Bidirectional TVS
D_SMCJ15A-CA,D,15 V,diode_footprints:DO-214AB-2,https://www.st.com/resource/en/datasheet/smcj26a.pdf,Bidirectional TVS SMD 15 V,STMicroelectronics,SMCJ15A/CA,SMCJ,https://www.trustedparts.com/en/search/SMCJ15A/CA,0.0,Bidirectional TVS
D_SMCJ18A-CA,D,18 V,diode_footprints:DO-214AB-2,https://www.st.com/resource/en/datasheet/smcj26a.pdf,Bidirectional TVS SMD 18 V,STMicroelectronics,SMCJ18A/CA,SMCJ,https://www.trustedparts.com/en/search/SMCJ18A/CA,0.0,Bidirectional TVS
D_SMCJ20A-CA,D,20 V,diode_footprints:DO-214AB-2,https://www.st.com/resource/en/datasheet/smcj26a.pdf,Bidirectional TVS SMD 20 V,STMicroelectronics,SMCJ20A/CA,SMCJ,https://www.trustedparts.com/en/search/SMCJ20A/CA,0.0,Bidirectional TVS
D_SMCJ22A-CA,D,22 V,diode_footprints:DO-214AB-2,https://www.st.com/resource/en/datasheet/smcj26a.pdf,Bidirectional TVS SMD 22 V,STMicroelectronics,SMCJ22A/CA,SMCJ,https://www.trustedparts.com/en/search/SMCJ22A/CA,0.0,Bidirectional TVS
D_SMCJ24A-CA,D,24 V,diode_footprints:DO-214AB-2,https://www.st.com/resource/en/datasheet/smcj26a.pdf,Bidirectional TVS SMD 24 V,STMicroelectronics,SMCJ24A/CA,SMCJ,https://www.trustedparts.com/en/search/SMCJ24A/CA,0.0,Bidirectional TVS
