Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_SRF0905A-100Y,L,10 µH,coupled_inductor_footprints:SRF0905A,https://bourns.com/docs/product-datasheets/srf0905a.pdf,COUPLED INDUCTOR SMD 10 µH ±20%,Bourns,SRF0905A-100Y,±20%,SRF0905A,https://www.trustedparts.com/en/search/SRF0905A-100Y,1.6,0.080
L_SRF0905A-250Y,L,25 µH,coupled_inductor_footprints:SRF0905A,https://bourns.com/docs/product-datasheets/srf0905a.pdf,COUPLED INDUCTOR SMD 25 µH ±20%,Bourns,SRF0905A-250Y,±20%,SRF0905A,https://www.trustedparts.com/en/search/SRF0905A-250Y,1.0,0.160
L_SRF0905A-400Y,L,40 µH,coupled_inductor_footprints:SRF0905A,https://bourns.com/docs/product-datasheets/srf0905a.pdf,COUPLED INDUCTOR SMD 40 µH ±20%,Bourns,SRF0905A-400Y,±20%,SRF0905A,https://www.trustedparts.com/en/search/SRF0905A-400Y,0.9,0.250
L_SRF0905A-500Y,L,50 µH,coupled_inductor_footprints:SRF0905A,https://bourns.com/docs/product-datasheets/srf0905a.pdf,COUPLED INDUCTOR SMD 50 µH ±20%,Bourns,SRF0905A-500Y,±20%,SRF0905A,https://www.trustedparts.com/en/search/SRF0905A-500Y,0.8,0.320
L_SRF0905A-251Y,L,250 µH,coupled_inductor_footprints:SRF0905A,https://bourns.com/docs/product-datasheets/srf0905a.pdf,COUPLED INDUCTOR SMD 250 µH ±20%,Bourns,SRF0905A-251Y,±20%,SRF0905A,https://www.trustedparts.com/en/search/SRF0905A-251Y,1.2,0.130
L_SRF0905A-471Y,L,470 µH,coupled_inductor_footprints:SRF0905A,https://bourns.com/docs/product-datasheets/srf0905a.pdf,COUPLED INDUCTOR SMD 470 µH ±20%,Bourns,SRF0905A-471Y,±20%,SRF0905A,https://www.trustedparts.com/en/search/SRF0905A-471Y,1.1,0.140
L_SRF0905A-501Y,L,500 µH,coupled_inductor_footprints:SRF0905A,https://bourns.com/docs/product-datasheets/srf0905a.pdf,COUPLED INDUCTOR SMD 500 µH ±20%,Bourns,SRF0905A-501Y,±20%,SRF0905A,https://www.trustedparts.com/en/search/SRF0905A-501Y,1.0,0.150
L_SRF0905A-102Y,L,1000 µH,coupled_inductor_footprints:SRF0905A,https://bourns.com/docs/product-datasheets/srf0905a.pdf,COUPLED INDUCTOR SMD 1000 µH ±20%,Bourns,SRF0905A-102Y,±20%,SRF0905A,https://www.trustedparts.com/en/search/SRF0905A-102Y,0.8,0.310
L_SRF0905A-202Y,L,2000 µH,coupled_inductor_footprints:SRF0905A,https://bourns.com/docs/product-datasheets/srf0905a.pdf,COUPLED INDUCTOR SMD 2000 µH ±20%,Bourns,SRF0905A-202Y,±20%,SRF0905A,https://www.trustedparts.com/en/search/SRF0905A-202Y,0.6,0.420
L_SRF0905A-472Y,L,4700 µH,coupled_inductor_footprints:SRF0905A,https://bourns.com/docs/product-datasheets/srf0905a.pdf,COUPLED INDUCTOR SMD 4700 µH ±20%,Bourns,SRF0905A-472Y,±20%,SRF0905A,https://www.trustedparts.com/en/search/SRF0905A-472Y,0.4,0.900
L_SRF0905A-652Y,L,6500 µH,coupled_inductor_footprints:SRF0905A,https://bourns.com/docs/product-datasheets/srf0905a.pdf,COUPLED INDUCTOR SMD 6500 µH ±20%,Bourns,SRF0905A-652Y,±20%,SRF0905A,https://www.trustedparts.com/en/search/SRF0905A-652Y,0.3,1.050
