Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_TSM-102-03-L-SH-TR,J,TSM-102-03-L-SH-TR,connector_footprints:TSM-102-03-L-SH-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*15mav39*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MDA3NzE4OC40NC4wLjE3NDAwNzc3ODMuNDguMC4w,"Samtec TSM-1xx-03-L-SH-TR series,  2 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-102-03-L-SH-TR,TSM-1xx-03-L-SH-TR,https://www.trustedparts.com/en/search/TSM-102-03-L-SH-TR,Black,2.54,2,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-103-03-L-SH-TR,J,TSM-103-03-L-SH-TR,connector_footprints:TSM-103-03-L-SH-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*15mav39*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MDA3NzE4OC40NC4wLjE3NDAwNzc3ODMuNDguMC4w,"Samtec TSM-1xx-03-L-SH-TR series,  3 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-103-03-L-SH-TR,TSM-1xx-03-L-SH-TR,https://www.trustedparts.com/en/search/TSM-103-03-L-SH-TR,Black,2.54,3,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-104-03-L-SH-TR,J,TSM-104-03-L-SH-TR,connector_footprints:TSM-104-03-L-SH-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*15mav39*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MDA3NzE4OC40NC4wLjE3NDAwNzc3ODMuNDguMC4w,"Samtec TSM-1xx-03-L-SH-TR series,  4 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-104-03-L-SH-TR,TSM-1xx-03-L-SH-TR,https://www.trustedparts.com/en/search/TSM-104-03-L-SH-TR,Black,2.54,4,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-105-03-L-SH-TR,J,TSM-105-03-L-SH-TR,connector_footprints:TSM-105-03-L-SH-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*15mav39*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MDA3NzE4OC40NC4wLjE3NDAwNzc3ODMuNDguMC4w,"Samtec TSM-1xx-03-L-SH-TR series,  5 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-105-03-L-SH-TR,TSM-1xx-03-L-SH-TR,https://www.trustedparts.com/en/search/TSM-105-03-L-SH-TR,Black,2.54,5,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-106-03-L-SH-TR,J,TSM-106-03-L-SH-TR,connector_footprints:TSM-106-03-L-SH-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*15mav39*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MDA3NzE4OC40NC4wLjE3NDAwNzc3ODMuNDguMC4w,"Samtec TSM-1xx-03-L-SH-TR series,  6 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-106-03-L-SH-TR,TSM-1xx-03-L-SH-TR,https://www.trustedparts.com/en/search/TSM-106-03-L-SH-TR,Black,2.54,6,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-107-03-L-SH-TR,J,TSM-107-03-L-SH-TR,connector_footprints:TSM-107-03-L-SH-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*15mav39*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MDA3NzE4OC40NC4wLjE3NDAwNzc3ODMuNDguMC4w,"Samtec TSM-1xx-03-L-SH-TR series,  7 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-107-03-L-SH-TR,TSM-1xx-03-L-SH-TR,https://www.trustedparts.com/en/search/TSM-107-03-L-SH-TR,Black,2.54,7,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-108-03-L-SH-TR,J,TSM-108-03-L-SH-TR,connector_footprints:TSM-108-03-L-SH-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*15mav39*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MDA3NzE4OC40NC4wLjE3NDAwNzc3ODMuNDguMC4w,"Samtec TSM-1xx-03-L-SH-TR series,  8 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-108-03-L-SH-TR,TSM-1xx-03-L-SH-TR,https://www.trustedparts.com/en/search/TSM-108-03-L-SH-TR,Black,2.54,8,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-109-03-L-SH-TR,J,TSM-109-03-L-SH-TR,connector_footprints:TSM-109-03-L-SH-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*15mav39*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MDA3NzE4OC40NC4wLjE3NDAwNzc3ODMuNDguMC4w,"Samtec TSM-1xx-03-L-SH-TR series,  9 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-109-03-L-SH-TR,TSM-1xx-03-L-SH-TR,https://www.trustedparts.com/en/search/TSM-109-03-L-SH-TR,Black,2.54,9,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-110-03-L-SH-TR,J,TSM-110-03-L-SH-TR,connector_footprints:TSM-110-03-L-SH-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*15mav39*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MDA3NzE4OC40NC4wLjE3NDAwNzc3ODMuNDguMC4w,"Samtec TSM-1xx-03-L-SH-TR series,  10 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-110-03-L-SH-TR,TSM-1xx-03-L-SH-TR,https://www.trustedparts.com/en/search/TSM-110-03-L-SH-TR,Black,2.54,10,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-111-03-L-SH-TR,J,TSM-111-03-L-SH-TR,connector_footprints:TSM-111-03-L-SH-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*15mav39*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MDA3NzE4OC40NC4wLjE3NDAwNzc3ODMuNDguMC4w,"Samtec TSM-1xx-03-L-SH-TR series,  11 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-111-03-L-SH-TR,TSM-1xx-03-L-SH-TR,https://www.trustedparts.com/en/search/TSM-111-03-L-SH-TR,Black,2.54,11,Vertical,5.2,300,Surface Mount,Tin,1
