Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_TSW-101-14-G-S,J,TSW-101-14-G-S,connector_footprints:TSW-101-14-G-S,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf?_gl=1*jw1r0n*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTE5MzI3NC40OC4xLjE3NDExOTMzODUuMjUuMC4w,"Samtec TSW-1xx-14-G-S series,  1 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,TSW-101-14-G-S,TSW-1xx-14-G-S,https://www.trustedparts.com/en/search/TSW-101-14-G-S,Black,2.54,1,Vertical,5.2,300,Through Hole,Gold,1
J_TSW-102-14-G-S,J,TSW-102-14-G-S,connector_footprints:TSW-102-14-G-S,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf?_gl=1*jw1r0n*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTE5MzI3NC40OC4xLjE3NDExOTMzODUuMjUuMC4w,"Samtec TSW-1xx-14-G-S series,  2 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,TSW-102-14-G-S,TSW-1xx-14-G-S,https://www.trustedparts.com/en/search/TSW-102-14-G-S,Black,2.54,2,Vertical,5.2,300,Through Hole,Gold,1
J_TSW-103-14-G-S,J,TSW-103-14-G-S,connector_footprints:TSW-103-14-G-S,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf?_gl=1*jw1r0n*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTE5MzI3NC40OC4xLjE3NDExOTMzODUuMjUuMC4w,"Samtec TSW-1xx-14-G-S series,  3 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,TSW-103-14-G-S,TSW-1xx-14-G-S,https://www.trustedparts.com/en/search/TSW-103-14-G-S,Black,2.54,3,Vertical,5.2,300,Through Hole,Gold,1
J_TSW-104-14-G-S,J,TSW-104-14-G-S,connector_footprints:TSW-104-14-G-S,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf?_gl=1*jw1r0n*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTE5MzI3NC40OC4xLjE3NDExOTMzODUuMjUuMC4w,"Samtec TSW-1xx-14-G-S series,  4 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,TSW-104-14-G-S,TSW-1xx-14-G-S,https://www.trustedparts.com/en/search/TSW-104-14-G-S,Black,2.54,4,Vertical,5.2,300,Through Hole,Gold,1
J_TSW-105-14-G-S,J,TSW-105-14-G-S,connector_footprints:TSW-105-14-G-S,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf?_gl=1*jw1r0n*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTE5MzI3NC40OC4xLjE3NDExOTMzODUuMjUuMC4w,"Samtec TSW-1xx-14-G-S series,  5 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,TSW-105-14-G-S,TSW-1xx-14-G-S,https://www.trustedparts.com/en/search/TSW-105-14-G-S,Black,2.54,5,Vertical,5.2,300,Through Hole,Gold,1
J_TSW-106-14-G-S,J,TSW-106-14-G-S,connector_footprints:TSW-106-14-G-S,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf?_gl=1*jw1r0n*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTE5MzI3NC40OC4xLjE3NDExOTMzODUuMjUuMC4w,"Samtec TSW-1xx-14-G-S series,  6 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,TSW-106-14-G-S,TSW-1xx-14-G-S,https://www.trustedparts.com/en/search/TSW-106-14-G-S,Black,2.54,6,Vertical,5.2,300,Through Hole,Gold,1
J_TSW-107-14-G-S,J,TSW-107-14-G-S,connector_footprints:TSW-107-14-G-S,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf?_gl=1*jw1r0n*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTE5MzI3NC40OC4xLjE3NDExOTMzODUuMjUuMC4w,"Samtec TSW-1xx-14-G-S series,  7 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,TSW-107-14-G-S,TSW-1xx-14-G-S,https://www.trustedparts.com/en/search/TSW-107-14-G-S,Black,2.54,7,Vertical,5.2,300,Through Hole,Gold,1
J_TSW-108-14-G-S,J,TSW-108-14-G-S,connector_footprints:TSW-108-14-G-S,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf?_gl=1*jw1r0n*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTE5MzI3NC40OC4xLjE3NDExOTMzODUuMjUuMC4w,"Samtec TSW-1xx-14-G-S series,  8 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,TSW-108-14-G-S,TSW-1xx-14-G-S,https://www.trustedparts.com/en/search/TSW-108-14-G-S,Black,2.54,8,Vertical,5.2,300,Through Hole,Gold,1
J_TSW-109-14-G-S,J,TSW-109-14-G-S,connector_footprints:TSW-109-14-G-S,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf?_gl=1*jw1r0n*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTE5MzI3NC40OC4xLjE3NDExOTMzODUuMjUuMC4w,"Samtec TSW-1xx-14-G-S series,  9 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,TSW-109-14-G-S,TSW-1xx-14-G-S,https://www.trustedparts.com/en/search/TSW-109-14-G-S,Black,2.54,9,Vertical,5.2,300,Through Hole,Gold,1
J_TSW-110-14-G-S,J,TSW-110-14-G-S,connector_footprints:TSW-110-14-G-S,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf?_gl=1*jw1r0n*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTE5MzI3NC40OC4xLjE3NDExOTMzODUuMjUuMC4w,"Samtec TSW-1xx-14-G-S series,  10 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,TSW-110-14-G-S,TSW-1xx-14-G-S,https://www.trustedparts.com/en/search/TSW-110-14-G-S,Black,2.54,10,Vertical,5.2,300,Through Hole,Gold,1
