Symbol Name,Datasheet,Description,Footprint,MPN,Reference
M_9774005243R,https://www.we-online.com/components/products/datasheet/9774005243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 0.5 mm lenght",mechanical_parts:9774005243R,9774005243R,M
M_9774010243R,https://www.we-online.com/components/products/datasheet/9774010243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 1 mm lenght",mechanical_parts:9774010243R,9774010243R,M
M_9774015243R,https://www.we-online.com/components/products/datasheet/9774015243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 1.5 mm lenght",mechanical_parts:9774015243R,9774015243R,M
M_9774020243R,https://www.we-online.com/components/products/datasheet/9774020243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 2 mm lenght",mechanical_parts:9774020243R,9774020243R,M
M_9774025243R,https://www.we-online.com/components/products/datasheet/9774025243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 2.5 mm lenght",mechanical_parts:9774025243R,9774025243R,M
M_9774030243R,https://www.we-online.com/components/products/datasheet/9774030243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 3 mm lenght",mechanical_parts:9774030243R,9774030243R,M
M_9774035243R,https://www.we-online.com/components/products/datasheet/9774035243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 3.5 mm lenght",mechanical_parts:9774035243R,9774035243R,M
M_9774040243R,https://www.we-online.com/components/products/datasheet/9774040243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 4 mm lenght",mechanical_parts:9774040243R,9774040243R,M
M_9774045243R,https://www.we-online.com/components/products/datasheet/9774045243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 4.5 mm lenght",mechanical_parts:9774045243R,9774045243R,M
M_9774050243R,https://www.we-online.com/components/products/datasheet/9774050243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 5 mm lenght",mechanical_parts:9774050243R,9774050243R,M
M_9774060243R,https://www.we-online.com/components/products/datasheet/9774060243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 6 mm lenght",mechanical_parts:9774060243R,9774060243R,M
M_9774070243R,https://www.we-online.com/components/products/datasheet/9774070243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 7 mm lenght",mechanical_parts:9774070243R,9774070243R,M
M_9774080243R,https://www.we-online.com/components/products/datasheet/9774080243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 8 mm lenght",mechanical_parts:9774080243R,9774080243R,M
M_UM108_PROFIL,,,mechanical_parts:2907525,,M
M_UM108_SEFE_L,https://www.phoenixcontact.com/en-pc/products/side-element-um108-sefe-l-2959696,"Side element with foot, 5 mm wide (left), for mounting on NS 32 or NS 35/7.5. PCB width: 107.5 mm",mechanical_parts:2959696,,M
M_UM108_SEFE_R,https://www.phoenixcontact.com/en-pc/products/side-element-um108-sefe-r-2959683,"Side element with foot, 5 mm wide (right), for mounting on NS 32 or NS 35/7.5. PCB width: 107.5 mm",mechanical_parts:2959683,,M
