Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_XAL7070-161ME,L,160 nH,inductor_footprints:XAL7070,https://www.coilcraft.com/getmedia/1ba55433-bcc8-4838-9b21-382f497e12e0/xal7070.pdf,INDUCTOR SMD 160 nH ±20%,Coilcraft,XAL7070-161ME,±20%,XAL7070,https://www.trustedparts.com/en/search/XAL7070-161ME,36.1,0.830
L_XAL7070-301ME,L,300 nH,inductor_footprints:XAL7070,https://www.coilcraft.com/getmedia/1ba55433-bcc8-4838-9b21-382f497e12e0/xal7070.pdf,INDUCTOR SMD 300 nH ±20%,Coilcraft,XAL7070-301ME,±20%,XAL7070,https://www.trustedparts.com/en/search/XAL7070-301ME,33.4,1.170
L_XAL7070-551ME,L,550 nH,inductor_footprints:XAL7070,https://www.coilcraft.com/getmedia/1ba55433-bcc8-4838-9b21-382f497e12e0/xal7070.pdf,INDUCTOR SMD 550 nH ±20%,Coilcraft,XAL7070-551ME,±20%,XAL7070,https://www.trustedparts.com/en/search/XAL7070-551ME,29.0,1.560
L_XAL7070-651ME,L,650 nH,inductor_footprints:XAL7070,https://www.coilcraft.com/getmedia/1ba55433-bcc8-4838-9b21-382f497e12e0/xal7070.pdf,INDUCTOR SMD 650 nH ±20%,Coilcraft,XAL7070-651ME,±20%,XAL7070,https://www.trustedparts.com/en/search/XAL7070-651ME,26.5,1.930
L_XAL7070-801ME,L,800 nH,inductor_footprints:XAL7070,https://www.coilcraft.com/getmedia/1ba55433-bcc8-4838-9b21-382f497e12e0/xal7070.pdf,INDUCTOR SMD 800 nH ±20%,Coilcraft,XAL7070-801ME,±20%,XAL7070,https://www.trustedparts.com/en/search/XAL7070-801ME,25.8,2.290
L_XAL7070-102ME,L,1 µH,inductor_footprints:XAL7070,https://www.coilcraft.com/getmedia/1ba55433-bcc8-4838-9b21-382f497e12e0/xal7070.pdf,INDUCTOR SMD 1 µH ±20%,Coilcraft,XAL7070-102ME,±20%,XAL7070,https://www.trustedparts.com/en/search/XAL7070-102ME,25.0,2.810
L_XAL7070-122ME,L,1.2 µH,inductor_footprints:XAL7070,https://www.coilcraft.com/getmedia/1ba55433-bcc8-4838-9b21-382f497e12e0/xal7070.pdf,INDUCTOR SMD 1.2 µH ±20%,Coilcraft,XAL7070-122ME,±20%,XAL7070,https://www.trustedparts.com/en/search/XAL7070-122ME,21.6,3.410
L_XAL7070-182ME,L,1.8 µH,inductor_footprints:XAL7070,https://www.coilcraft.com/getmedia/1ba55433-bcc8-4838-9b21-382f497e12e0/xal7070.pdf,INDUCTOR SMD 1.8 µH ±20%,Coilcraft,XAL7070-182ME,±20%,XAL7070,https://www.trustedparts.com/en/search/XAL7070-182ME,21.0,4.460
L_XAL7070-222ME,L,2.2 µH,inductor_footprints:XAL7070,https://www.coilcraft.com/getmedia/1ba55433-bcc8-4838-9b21-382f497e12e0/xal7070.pdf,INDUCTOR SMD 2.2 µH ±20%,Coilcraft,XAL7070-222ME,±20%,XAL7070,https://www.trustedparts.com/en/search/XAL7070-222ME,17.8,6.330
L_XAL7070-332ME,L,3.3 µH,inductor_footprints:XAL7070,https://www.coilcraft.com/getmedia/1ba55433-bcc8-4838-9b21-382f497e12e0/xal7070.pdf,INDUCTOR SMD 3.3 µH ±20%,Coilcraft,XAL7070-332ME,±20%,XAL7070,https://www.trustedparts.com/en/search/XAL7070-332ME,15.1,9.420
