Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_XFL2005-151ME,L,150 nH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 150 nH ±20%,Coilcraft,XFL2005-151ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-151ME,1.6,0.098
L_XFL2005-221ME,L,220 nH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 220 nH ±20%,Coilcraft,XFL2005-221ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-221ME,1.5,0.128
L_XFL2005-331ME,L,330 nH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 330 nH ±20%,Coilcraft,XFL2005-331ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-331ME,1.3,0.166
L_XFL2005-471ME,L,470 nH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 470 nH ±20%,Coilcraft,XFL2005-471ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-471ME,1.2,0.204
L_XFL2005-681ME,L,680 nH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 680 nH ±20%,Coilcraft,XFL2005-681ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-681ME,1.1,0.247
L_XFL2005-102ME,L,1 µH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 1 µH ±20%,Coilcraft,XFL2005-102ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-102ME,0.8,0.430
L_XFL2005-152ME,L,1.5 µH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 1.5 µH ±20%,Coilcraft,XFL2005-152ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-152ME,0.7,0.555
L_XFL2005-222ME,L,2.2 µH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 2.2 µH ±20%,Coilcraft,XFL2005-222ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-222ME,0.7,0.775
L_XFL2005-332ME,L,3.3 µH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 3.3 µH ±20%,Coilcraft,XFL2005-332ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-332ME,0.5,1.060
L_XFL2005-472ME,L,4.7 µH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 4.7 µH ±20%,Coilcraft,XFL2005-472ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-472ME,0.4,1.690
L_XFL2005-562ME,L,5.6 µH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 5.6 µH ±20%,Coilcraft,XFL2005-562ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-562ME,0.4,1.980
L_XFL2005-682ME,L,6.8 µH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 6.8 µH ±20%,Coilcraft,XFL2005-682ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-682ME,0.4,2.210
L_XFL2005-822ME,L,8.2 µH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 8.2 µH ±20%,Coilcraft,XFL2005-822ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-822ME,0.3,2.800
L_XFL2005-103ME,L,10 µH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 10 µH ±20%,Coilcraft,XFL2005-103ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-103ME,0.3,3.100
