Part Number,Inductance (uH),"IRP,40K (A)",RDC Max (mOhm)
7443630070,0.7,54.7,0.91
7443630140,1.4,47.1,1.19
7443630220,2.2,39.5,1.65
7443630310,3.1,33.15,2.3
7443630420,4.2,27,3.34
7443630550,5.5,23.35,4.4
7443630700,7,19.5,6.17
7443630860,8.6,17.1,7.91
7443631000,10,16.15,8.76
7443631500,15,15.4,9.57
7443632200,22,13.8,11.72
7443633300,33,13.3,12.54
7443634700,47,12.8,13.42
7443640100B,1,86.2,0.48
7443640150B,1.5,86.2,0.48
7443640330,3.3,34.95,2.64
7443640330B,3.3,59.2,0.97
7443640470,4.7,34.95,2.64
7443640470B,4.7,59.2,0.97
7443640680,6.8,34.95,2.64
7443640680B,6.8,59.2,0.97
7443641000,10,34.95,2.64
7443641000B,10,59.2,0.97
74436410150,1.5,44,1.44
74436410220,2.2,44,1.44
74436410330,3.3,44,1.44
74436410470,4.7,44,1.44
74436410680,6.8,44,1.44
74436411000,10,44,1.44
74436411500,15,44,1.44
74436412200,22,44,1.44
74436413300,33,44,1.44
7443641500,15,34.95,2.64
7443642010100,1,50.3,0.92
7443642010120,1.2,50.3,0.92
7443642010200,2,50.3,0.92
7443642200,22,34.95,2.64
7443643300,33,34.95,2.64
74437429203101,100,8.2,39.49
74437429203151,150,7.9,42.74
74437429203330,33,13.25,16.83
74437429203470,47,11.65,21.23
74437429203680,68,10.8,24.42
74437529203101,100,10.5,25.19
74437529203151,150,9,33.66
74437529203220,22,24.05,5.39
74437529203221,220,8.15,40.1
74437529203330,33,20.05,7.59
74437529203331,330,5.75,77.5
74437529203470,47,17.5,9.68
74437529203471,470,5.2,91.8
74437529203680,68,16,11.33
74437529203681,680,4.3,130.13
