Part Number,Inductance (uH),"IRP,40K (A)",RDC Max (mOhm)
744393230011,0.11,23.7,2.44
744393230022,0.22,20,3.78
744393230047,0.47,14.5,6.69
744393230056,0.56,12.7,8
744393230068,0.68,12.6,9.63
744393230082,0.82,10.8,11
74439323010,1,10,13.44
74439323012,1.2,8.9,16.08
74439323015,1.5,7.8,18.48
74439323022,2.2,7.2,23.52
744393240033,0.33,19.4,4
744393240047,0.47,17.1,4.5
744393240056,0.56,16.4,5.63
744393240064,0.64,15.2,5.81
744393240090,0.9,14,8.5
74439324010,1,11.1,10.32
74439324012,1.2,10.9,10.8
74439324015,1.5,10.6,12.9
74439324022,2.2,7.8,19.8
74439324033,3.3,7.1,25.5
74439324047,4.7,5.3,36.96
74439325033,3.3,7.2,25
74439325047,4.7,5.7,34.8
74439325056,5.6,5.1,44.4
74439325068,6.8,4.1,55
744393305033,3.3,9.2,16.6
744393305056,5.6,6.7,25.44
744393305068,6.8,6.6,29.28
744393305082,8.2,5.9,34.68
744393305100,10,5,43.08
744393305150,15,4,70.8
744393305220,22,3.5,90
744393330016,0.16,24.7,3.13
744393330033,0.33,20.8,4.25
744393330056,0.56,15.4,8
744393330068,0.68,13.3,9.38
74439333010,1,11.4,10.92
74439333012,1.2,10.7,15
744393340016,0.16,24.2,2.75
744393340033,0.33,21.2,3.88
744393340056,0.56,18.3,4.81
744393340068,0.68,15.7,4.88
74439334010,1,14.7,8.4
74439334012,1.2,13.6,8.76
74439334015,1.5,12,20.56
74439334018,1.8,10.8,10.8
74439334022,2.2,10.3,14.52
74439334033,3.3,8.2,19.92
74439334047,4.7,6.8,27.96
744393440015,0.15,37,1.49
744393440018,0.18,35.65,1.45
744393440033,0.33,27.35,2.31
744393440047,0.47,27.3,3.14
744393440056,0.56,22.75,3.19
744393440068,0.68,21.7,4.4
74439344010,1,15.75,6.05
74439344012,1.2,14.45,7.04
74439344018,1.8,14.4,10.45
74439344022,2.2,10.85,11.55
74439344033,3.3,7.65,21.12
74439344047,4.7,5.8,34.1
7443934450015,0.15,56.8,1.2
7443934450022,0.22,51.6,1.5
7443934450033,0.33,42.5,2
7443934450047,0.47,40.7,2.7
7443934450056,0.56,31.4,3.4
7443934450068,0.68,30,3.4
7443934450082,0.82,28.7,4
744393445010,1,25.1,4.9
744393445012,1.2,24.8,5.2
744393445015,1.5,22,7
744393445018,1.8,21.8,8
744393445022,2.2,19.2,10.3
744393445033,3.3,13.9,15.4
744393445047,4.7,13,21
744393445056,5.6,11.7,24.1
744393445068,6.8,9.8,28
744393445082,8.2,7.8,38
744393445100,10,7.5,44
744393445120,12,6.6,53
744393445150,15,5.9,72
744393445180,18,5,77
74439346010,1,20.95,4.07
74439346012,1.2,20.5,4.38
74439346015,1.5,19.35,4.68
74439346018,1.8,17.35,5.64
74439346022,2.2,15.75,6.69
74439346033,3.3,10.7,12.99
74439346047,4.7,9.6,14.3
74439346056,5.6,8.9,16.5
74439346068,6.8,8.1,19.36
74439346082,8.2,6.95,25.3
74439346100,10,6.4,29.15
74439346150,15,4.9,46.2
7443934650022,0.22,54,1.3
7443934650047,0.47,45,1.5
7443934650068,0.68,40.6,2.1
744393465010,1,32.3,2.5
744393465012,1.2,30.9,3.4
744393465015,1.5,30.6,3.8
744393465018,1.8,25.7,4
744393465022,2.2,22.3,4.5
744393465033,3.3,20.4,6.5
744393465047,4.7,14.6,10.1
744393465056,5.6,13.7,11.7
744393465068,6.8,13.4,14
744393465082,8.2,13.1,16.8
744393465100,10,10,19.4
744393465120,12,8.9,24.2
744393465150,15,8.5,31.1
744393465180,18,7.2,37.3
744393465220,22,5.3,46.9
744393580068,0.68,38,1.69
74439358010,1,30.25,2.32
74439358015,1.5,25.1,3.5
74439358022,2.2,21.85,4.07
